LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
GRC,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,18.2,
GRC,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,18.2,
GRC,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,18.2,
GRC,SOCSUPPORT,OLD,PC,A,2016,25.7,
GRC,SOCSUPPORT,OLD,PC,A,2017,25.7,
GRC,SOCSUPPORT,OLD,PC,A,2018,25.7,
GRC,SOCSUPPORT,YOUNG,PC,A,2016,8.1,
GRC,SOCSUPPORT,YOUNG,PC,A,2017,8.1,
GRC,SOCSUPPORT,YOUNG,PC,A,2018,8.1,
HUN,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,12.2,
HUN,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,12.2,
HUN,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,12.2,
HUN,SOCSUPPORT,OLD,PC,A,2016,12.2,
HUN,SOCSUPPORT,OLD,PC,A,2017,12.2,
HUN,SOCSUPPORT,OLD,PC,A,2018,12.2,
HUN,SOCSUPPORT,YOUNG,PC,A,2016,6.3,
HUN,SOCSUPPORT,YOUNG,PC,A,2017,6.3,
HUN,SOCSUPPORT,YOUNG,PC,A,2018,6.3,
ISL,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,2.1,
ISL,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,2.1,
ISL,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,2.1,
ISL,SOCSUPPORT,OLD,PC,A,2016,3.7,
ISL,SOCSUPPORT,OLD,PC,A,2017,3.7,
ISL,SOCSUPPORT,OLD,PC,A,2018,3.7,
ISL,SOCSUPPORT,YOUNG,PC,A,2016,0.5,
ISL,SOCSUPPORT,YOUNG,PC,A,2017,0.5,
ISL,SOCSUPPORT,YOUNG,PC,A,2018,0.5,
IRL,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,4.6,
IRL,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,4.6,
IRL,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,4.6,
IRL,SOCSUPPORT,OLD,PC,A,2016,4.2,
IRL,SOCSUPPORT,OLD,PC,A,2017,4.2,
IRL,SOCSUPPORT,OLD,PC,A,2018,4.2,
IRL,SOCSUPPORT,YOUNG,PC,A,2016,2.9,
IRL,SOCSUPPORT,YOUNG,PC,A,2017,2.9,
IRL,SOCSUPPORT,YOUNG,PC,A,2018,2.9,
ITA,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,9.2,
ITA,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,9.2,
ITA,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,9.2,
ITA,SOCSUPPORT,OLD,PC,A,2016,11.7,
ITA,SOCSUPPORT,OLD,PC,A,2017,11.7,
ITA,SOCSUPPORT,OLD,PC,A,2018,11.7,
ITA,SOCSUPPORT,YOUNG,PC,A,2016,6,
ITA,SOCSUPPORT,YOUNG,PC,A,2017,6,
ITA,SOCSUPPORT,YOUNG,PC,A,2018,6,
JPN,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,9.3,
JPN,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,9.3,
JPN,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,9.3,
JPN,SOCSUPPORT,OLD,PC,A,2016,10.5,
JPN,SOCSUPPORT,OLD,PC,A,2017,10.5,
JPN,SOCSUPPORT,OLD,PC,A,2018,10.5,
JPN,SOCSUPPORT,YOUNG,PC,A,2016,6.3,
JPN,SOCSUPPORT,YOUNG,PC,A,2017,6.3,
JPN,SOCSUPPORT,YOUNG,PC,A,2018,6.3,
KOR,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,17.8,
KOR,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,17.8,
KOR,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,17.8,
KOR,SOCSUPPORT,OLD,PC,A,2016,34.7,
KOR,SOCSUPPORT,OLD,PC,A,2017,34.7,
KOR,SOCSUPPORT,OLD,PC,A,2018,34.7,
KOR,SOCSUPPORT,YOUNG,PC,A,2016,5.8,
KOR,SOCSUPPORT,YOUNG,PC,A,2017,5.8,
KOR,SOCSUPPORT,YOUNG,PC,A,2018,5.8,
LUX,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,8.8,
LUX,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,8.8,
LUX,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,8.8,
LUX,SOCSUPPORT,OLD,PC,A,2016,8.8,
LUX,SOCSUPPORT,OLD,PC,A,2017,8.8,
LUX,SOCSUPPORT,OLD,PC,A,2018,8.8,
LUX,SOCSUPPORT,YOUNG,PC,A,2016,4.9,
LUX,SOCSUPPORT,YOUNG,PC,A,2017,4.9,
LUX,SOCSUPPORT,YOUNG,PC,A,2018,4.9,
MEX,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,20,
MEX,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,20,
MEX,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,20,
MEX,SOCSUPPORT,OLD,PC,A,2016,19.2,
MEX,SOCSUPPORT,OLD,PC,A,2017,19.2,
MEX,SOCSUPPORT,OLD,PC,A,2018,19.2,
MEX,SOCSUPPORT,YOUNG,PC,A,2016,17.4,
MEX,SOCSUPPORT,YOUNG,PC,A,2017,17.4,
MEX,SOCSUPPORT,YOUNG,PC,A,2018,17.4,
NLD,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,4.8,
NLD,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,4.8,
NLD,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,4.8,
NLD,SOCSUPPORT,OLD,PC,A,2016,10.7,
NLD,SOCSUPPORT,OLD,PC,A,2017,10.7,
NLD,SOCSUPPORT,OLD,PC,A,2018,10.7,
NLD,SOCSUPPORT,YOUNG,PC,A,2016,2.9,
NLD,SOCSUPPORT,YOUNG,PC,A,2017,2.9,
NLD,SOCSUPPORT,YOUNG,PC,A,2018,2.9,
NZL,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,5.2,
NZL,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,5.2,
NZL,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,5.2,
NZL,SOCSUPPORT,OLD,PC,A,2016,5.1,
NZL,SOCSUPPORT,OLD,PC,A,2017,5.1,
NZL,SOCSUPPORT,OLD,PC,A,2018,5.1,
NZL,SOCSUPPORT,YOUNG,PC,A,2016,2.7,
NZL,SOCSUPPORT,YOUNG,PC,A,2017,2.7,
NZL,SOCSUPPORT,YOUNG,PC,A,2018,2.7,
NOR,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,3.8,
NOR,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,3.8,
NOR,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,3.8,
NOR,SOCSUPPORT,OLD,PC,A,2016,7.1,
NOR,SOCSUPPORT,OLD,PC,A,2017,7.1,
NOR,SOCSUPPORT,OLD,PC,A,2018,7.1,
NOR,SOCSUPPORT,YOUNG,PC,A,2016,1.5,
NOR,SOCSUPPORT,YOUNG,PC,A,2017,1.5,
NOR,SOCSUPPORT,YOUNG,PC,A,2018,1.5,
POL,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,8.4,
POL,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,8.4,
POL,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,8.4,
POL,SOCSUPPORT,OLD,PC,A,2016,11.4,
POL,SOCSUPPORT,OLD,PC,A,2017,11.4,
POL,SOCSUPPORT,OLD,PC,A,2018,11.4,
POL,SOCSUPPORT,YOUNG,PC,A,2016,5,
POL,SOCSUPPORT,YOUNG,PC,A,2017,5,
POL,SOCSUPPORT,YOUNG,PC,A,2018,5,
PRT,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,11.1,
PRT,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,11.1,
PRT,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,11.1,
PRT,SOCSUPPORT,OLD,PC,A,2016,16.7,
PRT,SOCSUPPORT,OLD,PC,A,2017,16.7,
PRT,SOCSUPPORT,OLD,PC,A,2018,16.7,
PRT,SOCSUPPORT,YOUNG,PC,A,2016,4.6,
PRT,SOCSUPPORT,YOUNG,PC,A,2017,4.6,
PRT,SOCSUPPORT,YOUNG,PC,A,2018,4.6,
SVK,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,7.6,
SVK,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,7.6,
SVK,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,7.6,
SVK,SOCSUPPORT,OLD,PC,A,2016,8.6,
SVK,SOCSUPPORT,OLD,PC,A,2017,8.6,
SVK,SOCSUPPORT,OLD,PC,A,2018,8.6,
SVK,SOCSUPPORT,YOUNG,PC,A,2016,4.9,
SVK,SOCSUPPORT,YOUNG,PC,A,2017,4.9,
SVK,SOCSUPPORT,YOUNG,PC,A,2018,4.9,
ESP,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,6.6,
ESP,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,6.6,
ESP,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,6.6,
ESP,SOCSUPPORT,OLD,PC,A,2016,8,
ESP,SOCSUPPORT,OLD,PC,A,2017,8,
ESP,SOCSUPPORT,OLD,PC,A,2018,8,
ESP,SOCSUPPORT,YOUNG,PC,A,2016,3.4,
ESP,SOCSUPPORT,YOUNG,PC,A,2017,3.4,
ESP,SOCSUPPORT,YOUNG,PC,A,2018,3.4,
SWE,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,6.6,
SWE,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,6.6,
SWE,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,6.6,
SWE,SOCSUPPORT,OLD,PC,A,2016,9.7,
SWE,SOCSUPPORT,OLD,PC,A,2017,9.7,
SWE,SOCSUPPORT,OLD,PC,A,2018,9.7,
SWE,SOCSUPPORT,YOUNG,PC,A,2016,2,
SWE,SOCSUPPORT,YOUNG,PC,A,2017,2,
SWE,SOCSUPPORT,YOUNG,PC,A,2018,2,
CHE,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,4.9,
CHE,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,4.9,
CHE,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,4.9,
CHE,SOCSUPPORT,OLD,PC,A,2016,7.5,
CHE,SOCSUPPORT,OLD,PC,A,2017,7.5,
CHE,SOCSUPPORT,OLD,PC,A,2018,7.5,
CHE,SOCSUPPORT,YOUNG,PC,A,2016,2.9,
CHE,SOCSUPPORT,YOUNG,PC,A,2017,2.9,
CHE,SOCSUPPORT,YOUNG,PC,A,2018,2.9,
TUR,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,20.5,
TUR,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,20.5,
TUR,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,20.5,
TUR,SOCSUPPORT,OLD,PC,A,2016,23.3,
TUR,SOCSUPPORT,OLD,PC,A,2017,23.3,
TUR,SOCSUPPORT,OLD,PC,A,2018,23.3,
TUR,SOCSUPPORT,YOUNG,PC,A,2016,13.8,
TUR,SOCSUPPORT,YOUNG,PC,A,2017,13.8,
TUR,SOCSUPPORT,YOUNG,PC,A,2018,13.8,
GBR,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,6.4,
GBR,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,6.4,
GBR,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,6.4,
GBR,SOCSUPPORT,OLD,PC,A,2016,6.2,
GBR,SOCSUPPORT,OLD,PC,A,2017,6.2,
GBR,SOCSUPPORT,OLD,PC,A,2018,6.2,
GBR,SOCSUPPORT,YOUNG,PC,A,2016,4.5,
GBR,SOCSUPPORT,YOUNG,PC,A,2017,4.5,
GBR,SOCSUPPORT,YOUNG,PC,A,2018,4.5,
USA,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,10.7,
USA,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,10.7,
USA,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,10.7,
USA,SOCSUPPORT,OLD,PC,A,2016,9.4,
USA,SOCSUPPORT,OLD,PC,A,2017,9.4,
USA,SOCSUPPORT,OLD,PC,A,2018,9.4,
USA,SOCSUPPORT,YOUNG,PC,A,2016,5.5,
USA,SOCSUPPORT,YOUNG,PC,A,2017,5.5,
USA,SOCSUPPORT,YOUNG,PC,A,2018,5.5,
BRA,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,10.4,
BRA,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,10.4,
BRA,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,10.4,
BRA,SOCSUPPORT,OLD,PC,A,2016,12.7,
BRA,SOCSUPPORT,OLD,PC,A,2017,12.7,
BRA,SOCSUPPORT,OLD,PC,A,2018,12.7,
BRA,SOCSUPPORT,YOUNG,PC,A,2016,6.1,
BRA,SOCSUPPORT,YOUNG,PC,A,2017,6.1,
BRA,SOCSUPPORT,YOUNG,PC,A,2018,6.1,
CHL,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,15.8,
CHL,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,15.8,
CHL,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,15.8,
CHL,SOCSUPPORT,OLD,PC,A,2016,20.5,
CHL,SOCSUPPORT,OLD,PC,A,2017,20.5,
CHL,SOCSUPPORT,OLD,PC,A,2018,20.5,
CHL,SOCSUPPORT,YOUNG,PC,A,2016,6,
CHL,SOCSUPPORT,YOUNG,PC,A,2017,6,
CHL,SOCSUPPORT,YOUNG,PC,A,2018,6,
COL,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,12.4,
COL,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,12.4,
COL,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,12.4,
COL,SOCSUPPORT,OLD,PC,A,2016,13.2,
COL,SOCSUPPORT,OLD,PC,A,2017,13.2,
COL,SOCSUPPORT,OLD,PC,A,2018,13.2,
COL,SOCSUPPORT,YOUNG,PC,A,2016,5.9,
COL,SOCSUPPORT,YOUNG,PC,A,2017,5.9,
COL,SOCSUPPORT,YOUNG,PC,A,2018,5.9,
CRI,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,11.2,
CRI,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,11.2,
CRI,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,11.2,
CRI,SOCSUPPORT,OLD,PC,A,2016,13.8,
CRI,SOCSUPPORT,OLD,PC,A,2017,13.8,
CRI,SOCSUPPORT,OLD,PC,A,2018,13.8,
CRI,SOCSUPPORT,YOUNG,PC,A,2016,5.7,
CRI,SOCSUPPORT,YOUNG,PC,A,2017,5.7,
CRI,SOCSUPPORT,YOUNG,PC,A,2018,5.7,
EST,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,7.8,
EST,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,7.8,
EST,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,7.8,
EST,SOCSUPPORT,OLD,PC,A,2016,11.5,
EST,SOCSUPPORT,OLD,PC,A,2017,11.5,
EST,SOCSUPPORT,OLD,PC,A,2018,11.5,
EST,SOCSUPPORT,YOUNG,PC,A,2016,1.6,
EST,SOCSUPPORT,YOUNG,PC,A,2017,1.6,
EST,SOCSUPPORT,YOUNG,PC,A,2018,1.6,
ISR,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,11.5,
ISR,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,11.5,
ISR,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,11.5,
ISR,SOCSUPPORT,OLD,PC,A,2016,12.2,
ISR,SOCSUPPORT,OLD,PC,A,2017,12.2,
ISR,SOCSUPPORT,OLD,PC,A,2018,12.2,
ISR,SOCSUPPORT,YOUNG,PC,A,2016,7.4,
ISR,SOCSUPPORT,YOUNG,PC,A,2017,7.4,
ISR,SOCSUPPORT,YOUNG,PC,A,2018,7.4,
LVA,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,10.5,
LVA,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,10.5,
LVA,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,10.5,
LVA,SOCSUPPORT,OLD,PC,A,2016,16.4,
LVA,SOCSUPPORT,OLD,PC,A,2017,16.4,
LVA,SOCSUPPORT,OLD,PC,A,2018,16.4,
LVA,SOCSUPPORT,YOUNG,PC,A,2016,5.3,
LVA,SOCSUPPORT,YOUNG,PC,A,2017,5.3,
LVA,SOCSUPPORT,YOUNG,PC,A,2018,5.3,
LTU,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,8.4,
LTU,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,8.4,
LTU,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,8.4,
LTU,SOCSUPPORT,OLD,PC,A,2016,9.4,
LTU,SOCSUPPORT,OLD,PC,A,2017,9.4,
LTU,SOCSUPPORT,OLD,PC,A,2018,9.4,
LTU,SOCSUPPORT,YOUNG,PC,A,2016,3.9,
LTU,SOCSUPPORT,YOUNG,PC,A,2017,3.9,
LTU,SOCSUPPORT,YOUNG,PC,A,2018,3.9,
RUS,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,9.3,
RUS,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,9.3,
RUS,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,9.3,
RUS,SOCSUPPORT,OLD,PC,A,2016,12,
RUS,SOCSUPPORT,OLD,PC,A,2017,12,
RUS,SOCSUPPORT,OLD,PC,A,2018,12,
RUS,SOCSUPPORT,YOUNG,PC,A,2016,5,
RUS,SOCSUPPORT,YOUNG,PC,A,2017,5,
RUS,SOCSUPPORT,YOUNG,PC,A,2018,5,
SVN,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,5.9,
SVN,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,5.9,
SVN,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,5.9,
SVN,SOCSUPPORT,OLD,PC,A,2016,11.2,
SVN,SOCSUPPORT,OLD,PC,A,2017,11.2,
SVN,SOCSUPPORT,OLD,PC,A,2018,11.2,
SVN,SOCSUPPORT,YOUNG,PC,A,2016,1.9,
SVN,SOCSUPPORT,YOUNG,PC,A,2017,1.9,
SVN,SOCSUPPORT,YOUNG,PC,A,2018,1.9,
ZAF,SOCSUPPORT,MIDDLE_AGED,PC,A,2016,13,
ZAF,SOCSUPPORT,MIDDLE_AGED,PC,A,2017,13,
ZAF,SOCSUPPORT,MIDDLE_AGED,PC,A,2018,13,
ZAF,SOCSUPPORT,OLD,PC,A,2016,13.5,
ZAF,SOCSUPPORT,OLD,PC,A,2017,13.5,
ZAF,SOCSUPPORT,OLD,PC,A,2018,13.5,
ZAF,SOCSUPPORT,YOUNG,PC,A,2016,10.6,
ZAF,SOCSUPPORT,YOUNG,PC,A,2017,10.6,
ZAF,SOCSUPPORT,YOUNG,PC,A,2018,10.6,
