index,mean_absolute_error,mean_squared_error
alcohol model,2.8183271884918213,11.49990177154541
linear model,2.351511240005493,8.807567596435547
dnn alcohol model,3.0936484336853027,12.858899116516113
dnn model,2.650932550430298,11.63106632232666
